Date,Text Date,State,Deaths,Deaths in Month,% Change
4/1/2020,2020 Mar,Florida,100,100,--
5/1/2020,2020 Apr,Florida,1313,1213,1113
6/1/2020,2020 May,Florida,2459,1146,-5.523495466
7/1/2020,2020 Jun,Florida,3549,1090,-4.886561955
8/1/2020,2020 Jul,Florida,7021,3472,218.5321101
9/1/2020,2020 Aug,Florida,11373,4352,25.34562212
10/1/2020,2020 Sep,Florida,14443,3070,-29.45772059
11/1/2020,2020 Oct,Florida,16788,2345,-23.61563518
12/1/2020,2020 Nov,Florida,18678,1890,-19.40298507
1/1/2021,2020 Dec,Florida,21672,2994,58.41269841
2/1/2021,2021 Jan,Florida,26684,5012,67.40146961
3/1/2021,2021 Feb,Florida,30998,4314,-13.92657622
4/1/2021,2021 Mar,Florida,33493,2495,-42.16504404
5/1/2021,2021 Apr,Florida,35238,1745,-30.06012024
6/1/2021,2021 May,Florida,36868,1630,-6.59025788
7/1/2021,2021 Jun,Florida,37913,1045,-35.88957055
8/1/2021,2021 Jul,Florida,39079,1166,11.57894737
9/1/2021,2021 Aug,Florida,44571,5492,371.0120069
10/1/2021,2021 Sep,Florida,55299,10728,95.33867444
11/1/2021,2021 Oct,Florida,59670,4371,-59.25615213
12/1/2021,2021 Nov,Florida,61548,1878,-57.03500343
1/1/2022,2021 Dec,Florida,62504,956,-49.09478168
2/1/2022,2022 Jan,Florida,65271,2767,189.4351464
3/1/2022,2022 Feb,Florida,70247,4976,79.83375497
4/1/2022,2022 Mar,Florida,73282,3035,-39.00723473
5/1/2022,2022 Apr,Florida,73948,666,-78.05601318
6/1/2022,2022 May,Florida,74557,609,-8.558558559
7/1/2022,2022 Jun,Florida,75891,1334,119.047619
8/1/2022,2022 Jul,Florida,77734,1843,38.15592204
9/1/2022,2022 Aug,Florida,79955,2221,20.51003798
10/1/2022,2022 Sep,Florida,81416,1461,-34.21882035
11/1/2022,2022 Oct,Florida,82176,760,-47.98083504
12/1/2022,2022 Nov,Florida,82875,699,-8.026315789
1/1/2023,2022 Dec,Florida,83911,1036,48.21173104
2/1/2023,2023 Jan,Florida,84927,1016,-1.930501931
3/1/2023,2023 Feb,Florida,86294,1367,34.54724409